# BLASTP 2.17.0+
# Query: BroT13.C08g39640.1
# Database: Araport11_prot_db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 10 hits found
BroT13.C08g39640.1	AT2G25930.1	57.865	712	144	30	1	578	1	690	0.0	580
BroT13.C08g39640.1	AT3G21320.1	26.375	618	320	23	5	576	5	533	1.53e-32	131
BroT13.C08g39640.1	AT3G51910.1	33.929	56	34	1	457	509	128	183	1.2	31.2
BroT13.C08g39640.1	AT4G29700.1	28.736	87	46	5	414	487	83	166	3.3	30.4
BroT13.C08g39640.1	AT5G43710.1	30.667	75	34	4	143	205	445	513	6.6	29.3
BroT13.C08g39640.1	AT5G61300.1	32.432	37	19	1	233	269	40	70	7.0	29.3
BroT13.C08g39640.1	AT4G37670.2	27.119	59	37	2	412	470	360	412	8.2	29.3
BroT13.C08g39640.1	AT4G27430.1	48.276	29	14	1	405	432	299	327	8.3	29.3
BroT13.C08g39640.1	AT3G59550.1	28.070	57	37	1	251	303	58	114	8.8	28.9
BroT13.C08g39640.1	AT5G67390.1	29.412	34	24	0	233	266	14	47	10.0	28.1
# BLASTP 2.17.0+
# Query: BroT17.C08g42200.1
# Database: Araport11_prot_db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 9 hits found
BroT17.C08g42200.1	AT2G25930.1	58.345	713	143	30	1	582	1	690	0.0	582
BroT17.C08g42200.1	AT3G21320.1	25.990	631	310	24	5	580	5	533	6.56e-32	129
BroT17.C08g42200.1	AT3G51910.1	45.455	33	18	0	481	513	151	183	1.4	31.2
BroT17.C08g42200.1	AT3G13290.1	35.616	73	41	2	423	491	13	83	1.8	31.6
BroT17.C08g42200.1	AT5G67390.1	28.571	35	25	0	232	266	13	47	2.4	30.0
BroT17.C08g42200.1	AT4G29700.1	43.333	30	14	1	425	451	97	126	4.2	30.0
BroT17.C08g42200.1	AT5G43710.1	30.667	75	34	4	143	205	445	513	5.9	29.6
BroT17.C08g42200.1	AT5G61300.1	32.432	37	19	1	233	269	40	70	7.4	29.3
BroT17.C08g42200.1	AT3G59550.1	28.070	57	37	1	251	303	58	114	9.5	28.9
# BLASTP 2.17.0+
# Query: BroT08.C08g39450.1
# Database: Araport11_prot_db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 11 hits found
BroT08.C08g39450.1	AT2G25930.1	57.043	717	147	30	2	584	1	690	0.0	569
BroT08.C08g39450.1	AT3G21320.1	25.354	635	310	22	6	582	5	533	8.35e-32	129
BroT08.C08g39450.1	AT3G51910.1	48.485	33	17	0	483	515	151	183	0.25	33.5
BroT08.C08g39450.1	AT5G43710.1	30.667	75	34	4	144	206	445	513	5.3	29.6
BroT08.C08g39450.1	AT3G28470.1	27.419	62	43	2	284	344	232	292	5.7	29.3
BroT08.C08g39450.1	AT5G61300.1	32.432	37	19	1	234	270	40	70	6.3	29.3
BroT08.C08g39450.1	AT3G13290.1	33.333	75	37	2	428	493	13	83	6.7	29.6
BroT08.C08g39450.1	AT4G29700.1	46.429	28	12	1	430	454	97	124	7.8	29.3
