#BLASTP
#Strictness for accepting hits was >= 25% sequence identity with >= 65% alignment length of input sequence length
#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier

##sequence 1,>NP_180164.1 ELF3 [organism=Arabidopsis thaliana] [GeneID=817134], 695 length
NP_180164.1	BroT22.C08g39200.1_genome_4	57.163	719	142	30	1	690	1	582	0.0	595	PASS	PASS	4	7	C08	44619672	44622375	2704	584	BroT22.C08g39200.1	-	34609460	35196463	BroT22.C08g39200	-	34609459
NP_180164.1	BroT21.C08g41890.1_genome_3	57.163	719	142	30	1	690	1	582	0.0	595	PASS	PASS	3	8	GWHDUBS00000008	47704983	47707686	2704	584	BroT21.C08g41890.1	-	34034759	35196463	BroT21.C08g41890	-	34034758
NP_180164.1	BroT25.C08g38180.1_genome_2	57.163	719	142	30	1	690	1	582	0.0	595	PASS	PASS	2	8	GWHDTYM00000008	41201738	41204441	2704	584	BroT25.C08g38180.1	-	33429278	35196463	BroT25.C08g38180	-	33429277
NP_180164.1	caul8G04351.1_genome_1	57.163	719	142	30	1	690	1	582	0.0	595	PASS	PASS	1	8	GWHBKKZ00000008	42004422	42007125	2704	584	caul8G04351.1	-	32845974	35196463	caul8G04351	-	32845973
NP_180164.1	caul3G04815.1_genome_1	29.782	413	169	14	301	691	16	329	2.74e-34	135	PASS	FAIL	1	
NP_180164.1	BroT22.C03g46310.1_genome_4	29.782	413	169	14	301	691	178	491	7.98e-34	137	PASS	FAIL	4	
NP_180164.1	BroT21.C03g45030.1_genome_3	29.782	413	169	14	301	691	178	491	7.98e-34	137	PASS	FAIL	3	
NP_180164.1	BroT25.C03g44510.1_genome_2	29.782	413	169	14	301	691	178	491	7.98e-34	137	PASS	FAIL	2	
NP_180164.1	caul3G04814.1_genome_1	29.782	413	169	14	301	691	178	491	7.98e-34	137	PASS	FAIL	1	
NP_180164.1	BroT21.C03g45040.1_genome_3	29.782	413	169	14	301	691	203	516	2.03e-33	137	PASS	FAIL	3	
NP_180164.1	BroT22.C01g37020.1_genome_4	28.822	399	172	14	301	691	220	514	4.59e-29	124	PASS	FAIL	4	
NP_180164.1	BroT22.C01g37020.1_genome_4	30.263	76	43	3	3	75	5	73	2.6	33.5	PASS	FAIL	4	
NP_180164.1	BroT25.C01g35860.1_genome_2	28.822	399	172	14	301	691	220	514	4.59e-29	124	PASS	FAIL	2	
NP_180164.1	BroT25.C01g35860.1_genome_2	30.263	76	43	3	3	75	5	73	2.6	33.5	PASS	FAIL	2	
NP_180164.1	BroT21.C01g36630.1_genome_3	28.822	399	172	14	301	691	219	513	1.81e-28	122	PASS	FAIL	3	
NP_180164.1	BroT21.C01g36630.1_genome_3	34.568	81	41	4	5	80	5	78	0.19	37.4	PASS	FAIL	3	
NP_180164.1	caul1G03945.1_genome_1	28.822	399	172	14	301	691	219	513	1.81e-28	122	PASS	FAIL	1	
NP_180164.1	caul1G03945.1_genome_1	34.568	81	41	4	5	80	5	78	0.19	37.4	PASS	FAIL	1	
NP_180164.1	BroT22.C05g34960.1_genome_4	36.979	192	79	6	301	489	224	376	1.29e-24	110	PASS	FAIL	4	
NP_180164.1	BroT22.C05g34960.1_genome_4	65.625	32	11	0	660	691	503	534	2.06e-04	47.0	PASS	FAIL	4	
NP_180164.1	BroT21.C05g34800.1_genome_3	36.979	192	79	6	301	489	224	376	1.29e-24	110	PASS	FAIL	3	
NP_180164.1	BroT21.C05g34800.1_genome_3	65.625	32	11	0	660	691	503	534	2.06e-04	47.0	PASS	FAIL	3	
NP_180164.1	BroT25.C05g36030.1_genome_2	36.979	192	79	6	301	489	224	376	1.29e-24	110	PASS	FAIL	2	
NP_180164.1	BroT25.C05g36030.1_genome_2	65.625	32	11	0	660	691	503	534	2.06e-04	47.0	PASS	FAIL	2	
NP_180164.1	caul5G03852.1_genome_1	36.979	192	79	6	301	489	224	376	1.29e-24	110	PASS	FAIL	1	
NP_180164.1	caul5G03852.1_genome_1	65.625	32	11	0	660	691	503	534	2.06e-04	47.0	PASS	FAIL	1	
NP_180164.1	caul3G04816.1_genome_1	38.636	44	19	2	5	46	5	42	5.5	31.6	PASS	FAIL	1	
NP_180164.1	BroT25.C04g37760.1_genome_2	21.277	141	110	1	358	498	4	143	8.4	31.6	FAIL	FAIL	2	
